channel_name,source,detector,wavelength_nm,x_mm,y_mm,z_mm,coord_frame
S1_D1 760,S1,D1,760,-43.605,-1.4000000000000006,82.065,0
S2_D2 760,S2,D2,760,44.78,-0.9100000000000003,80.96000000000001,0
S7_D1 760,S7,D1,760,-44.545,-19.445,85.02499999999999,0
S8_D2 760,S8,D2,760,46.39,-19.005000000000003,84.44,0
S5_D3 760,S5,D3,760,-69.98499999999999,-38.370000000000005,57.42,0
S6_D4 760,S6,D4,760,72.81000000000002,-37.815000000000005,57.605000000000004,0
S7_D3 760,S7,D3,760,-58.245000000000005,-37.96,72.96,0
S8_D4 760,S8,D4,760,60.86,-37.515,73.025,0
S3_D5 760,S3,D5,760,-77.485,-4.7299999999999995,37.23500000000001,0
S4_D6 760,S4,D6,760,80.22999999999999,-3.7199999999999998,37.28,0
S5_D5 760,S5,D5,760,-78.345,-21.745,39.190000000000005,0
S6_D6 760,S6,D6,760,81.235,-20.885,39.419999999999995,0
S1_D7 760,S1,D7,760,-55.614999999999995,14.949999999999998,64.96000000000001,0
S2_D8 760,S2,D8,760,57.09,15.76,64.57000000000001,0
S3_D7 760,S3,D7,760,-67.43499999999999,13.509999999999998,50.425,0
S4_D8 760,S4,D8,760,69.645,14.53,50.49000000000001,0
S13_D3 760,S13,D3,760,-65.97,-48.794999999999995,61.625,0
S14_D4 760,S14,D4,760,69.025,-48.33,61.545,0
S1_D1 850,S1,D1,850,-43.605,-1.4000000000000006,82.065,0
S2_D2 850,S2,D2,850,44.78,-0.9100000000000003,80.96000000000001,0
S7_D1 850,S7,D1,850,-44.545,-19.445,85.02499999999999,0
S8_D2 850,S8,D2,850,46.39,-19.005000000000003,84.44,0
S5_D3 850,S5,D3,850,-69.98499999999999,-38.370000000000005,57.42,0
S6_D4 850,S6,D4,850,72.81000000000002,-37.815000000000005,57.605000000000004,0
S7_D3 850,S7,D3,850,-58.245000000000005,-37.96,72.96,0
S8_D4 850,S8,D4,850,60.86,-37.515,73.025,0
S3_D5 850,S3,D5,850,-77.485,-4.7299999999999995,37.23500000000001,0
S4_D6 850,S4,D6,850,80.22999999999999,-3.7199999999999998,37.28,0
S5_D5 850,S5,D5,850,-78.345,-21.745,39.190000000000005,0
S6_D6 850,S6,D6,850,81.235,-20.885,39.419999999999995,0
S1_D7 850,S1,D7,850,-55.614999999999995,14.949999999999998,64.96000000000001,0
S2_D8 850,S2,D8,850,57.09,15.76,64.57000000000001,0
S3_D7 850,S3,D7,850,-67.43499999999999,13.509999999999998,50.425,0
S4_D8 850,S4,D8,850,69.645,14.53,50.49000000000001,0
S13_D3 850,S13,D3,850,-65.97,-48.794999999999995,61.625,0
S14_D4 850,S14,D4,850,69.025,-48.33,61.545,0
